name,brand,condition,packaging,saleTerms,group,type,audience,ridingStyles,sizeLabel,sizeFilterKeys,officialSize,variant,color,price,reference,url,sku,id,productId,observedAt
"Shimano XTR 9250 SHIFT SWITCH DI2 ISPEC EV (OEM)","Shimano","","OEM","","Components","Derailleurs & shifters","","","","","","","","149","220","https://bikecloset.com/product/shimano-xtr-9250-shift-switch-di2-ispec-ev/","","1788848","1788848","2026-09-11T12:08:04.173Z"
"Shimano XTR ROTOR 180MM EBIKE W/ MAGNET (OEM)","Shimano","","OEM","","Components","Brakes & rotors","","","","","","","","59.99","100","https://bikecloset.com/product/shimano-xtr-rotor-160-cl-w-lockring-oem-copy/","","1788844","1788844","2026-09-11T12:08:04.173Z"
"Shimano XTR ROTOR 203 CL W/ LOCKRING (OEM)","Shimano","","OEM","","Components","Brakes & rotors","","","","","","","","59.99","110","https://bikecloset.com/product/shimano-xtr-rotor-203-cl-w-lockring-oem/","","1788838","1788838","2026-09-11T12:08:04.173Z"
"Shimano XTR 9250 RD SGS 12 SPD 51T DI2 (OEM)","Shimano","","OEM","","Components","Derailleurs & shifters","","","","","","","","500","665","https://bikecloset.com/product/shimano-xtr-9250-rd-sgs-12-spd-51t-di2-oem/","","1788725","1788725","2026-09-11T12:08:04.173Z"
"Shimano XTR 9200 Cassette 10-51 12 SPEED (OEM)","Shimano","","OEM","","Components","Cassettes","","","","","","","","379","500","https://bikecloset.com/product/shimano-xtr-9200-cassette-10-51-12-speed/","","1786058","1786058","2026-09-11T12:08:04.173Z"
"Shimano XTR 9250 Upgrade Kit (OEM)","Shimano","","OEM","","Components","Groupsets & upgrade kits","","","","","","","","999","1500","https://bikecloset.com/product/shimano-xtr-9250-upgrade-kit-oem/","","1785360","1785360","2026-09-11T12:08:04.173Z"
"Selle Italia SLR TEKNO FLOW Carbon Rail PROF 5.0 131mm (OEM)","Selle Italia","","OEM","","Components","Saddles","","","","","","","","199","499","https://bikecloset.com/product/sella-slr-tekno-flow-prof-5-0/","8030282492394","1783747","1783747","2026-09-11T12:08:04.173Z"
"Selle Italia SLR TEKNO Carbon Rail PROF 5.0 131mm (OEM)","Selle Italia","","OEM","","Components","Saddles","","","","","","","","149","499","https://bikecloset.com/product/sella-slr-tekno-prof-5-0/","8030282492370","1783746","1783746","2026-09-11T12:08:04.173Z"
"Selle Italia FLITE Carbon Rail Team Edition PROF 6.0 145mm (OEM)","Selle Italia","","OEM","","Components","Saddles","","","","","","","","99","379","https://bikecloset.com/product/sella-flite-t-e-prof-6-0/","8030282513389","1783743","1783743","2026-09-11T12:08:04.173Z"
"Selle Italia FLITE FLOW Carbon Rail Team Edition PROF 6.0 145mm (OEM)","Selle Italia","","OEM","","Components","Saddles","","","","","","","","99","379","https://bikecloset.com/product/sella-flite-flow-t-e-prof-6-0/","8030282513402","1783742","1783742","2026-09-11T12:08:04.173Z"
"Pirelli Cinturato TLR 650bx50mm GRAVEL H Classic","Pirelli","","","","Wheels & tires","Tires","","","650B × 50 mm","tires:650b × 50 mm","650bx50mm","","","39.99","103.9","https://bikecloset.com/product/cinturato-gravel-h-classic/","8019227387445","1780799","1780799","2026-09-11T12:08:04.173Z"
"Pirelli PZERO Race 700×28 TT Red Clincher","Pirelli","","","","Wheels & tires","Tires","","","700 × 28 mm","tires:700 × 28 mm","700×28","","","54.99","99.9","https://bikecloset.com/product/p-zero-race-tt-red/","8019227431902","1780798","1780798","2026-09-11T12:08:04.173Z"
"Pirelli PZERO Race 700×28 Colour Edition Orange Clincher","Pirelli","","","","Wheels & tires","Tires","","","700 × 28 mm","tires:700 × 28 mm","700×28","","","44.99","107.9","https://bikecloset.com/product/p-zero-race-colour-edition-orange/","8019227429787","1780797","1780797","2026-09-11T12:08:04.173Z"
"Pirelli PZERO Race 700×28 Colour Edition Lime Clincher","Pirelli","","","","Wheels & tires","Tires","","","700 × 28 mm","tires:700 × 28 mm","700×28","","","44.99","107.9","https://bikecloset.com/product/p-zero-race-colour-edition-lime/","8019227429763","1780795","1780795","2026-09-11T12:08:04.173Z"
"Pirelli PZERO Race 700×28 Colour Edition Fucsia Clincher","Pirelli","","","","Wheels & tires","Tires","","","700 × 28 mm","tires:700 × 28 mm","700×28","","","44.99","107.9","https://bikecloset.com/product/p-zero-race-colour-edition-fucsia/","8019227429800","1780794","1780794","2026-09-11T12:08:04.173Z"
"Prologo Dimension Space T4.0 Hard Black 153 mm","Prologo","","","","Components","Saddles","","","","","","","","79.99","120","https://bikecloset.com/product/prologo-dimension-space-t4-0-hard-black-153-mm/","4716112780230","1780788","1780788","2026-09-11T12:08:04.173Z"
"Prologo Dimension T4.0 Hard Black 143 mm","Prologo","","","","Components","Saddles","","","","","","","","79.99","120","https://bikecloset.com/product/prologo-dimension-t4-0-hard-black-143-mm/","4711946199678","1780784","1780784","2026-09-11T12:08:04.173Z"
"Pirelli Cinturato GRAVEL RH Classic TLR 700x40mm (OEM)","Pirelli","","OEM","","Wheels & tires","Tires","","","700 × 40 mm","tires:700 × 40 mm","700x40mm","","","49.99","94.9","https://bikecloset.com/product/pirelli-cinturato-gravel-rh-classic-tlr-700x40mm-oem/","RH-40mm-4678505-OEM","1776515","1776515","2026-09-11T12:08:04.173Z"
"Pirelli Cinturato GRAVEL RH Classic TLR 700x45mm (OEM)","Pirelli","","OEM","","Wheels & tires","Tires","","","700 × 45 mm","tires:700 × 45 mm","700x45mm","","","59.99","94.9","https://bikecloset.com/product/pirelli-cinturato-gravel-rh-classic-tlr-700x45mm-oem/","RH-45mm-4678705-OEM","1776513","1776513","2026-09-11T12:08:04.173Z"
"Pirelli Pzero Race Celeste 700×28 Folding Clincher","Pirelli","","","","Wheels & tires","Tires","","","700 × 28 mm","tires:700 × 28 mm","700×28","","","44.99","107.9","https://bikecloset.com/product/pirelli-pzero-race-700x28-celeste/","8019227456776","1776516","1776516","2026-09-11T12:08:04.173Z"
"Pirelli Cinturato GRAVEL H Classic TLR 700x50mm (OEM)","Pirelli","","OEM","","Wheels & tires","Tires","","","700 × 50 mm","tires:700 × 50 mm","700x50mm","","","59.99","103.9","https://bikecloset.com/product/pirelli-cinturato-gravel-h-classic-tlr-700x50mm-oem/","H-50mm-3929805-OEM","1776512","1776512","2026-09-11T12:08:04.173Z"
"Selle San Marco GND Steel Rail 145mm (OEM)","Selle San Marco","","OEM","","Components","Saddles","","","","","","","","24.99","65","https://bikecloset.com/product/selle-san-marco-gnd-steel-rail-145mm/","8030282546561","1776227","1776227","2026-09-11T12:08:04.173Z"
"LOOK COMBO AERO STEM CARBON 90, -7 degree MAT GLOSSY AFM","Look","","","","Components","Stems","","","","","","","","550","550","https://bikecloset.com/product/look-combo-aero-stem-carbon-100-7-degree-mat-glossy-afm/","3611720203465","1776173","1776173","2026-09-11T12:08:04.173Z"
"LOOK COMBO AERO HANDLEBAR CARBON PROTEAM MAT GLOSSY 380 mm C to C AFM","Look","","","","Components","Handlebars","","","","","","","","575","575","https://bikecloset.com/product/look-combo-aero-handlebar-carbon-proteam-mat-glossy-380-mm-c-to-c-afm/","3611720203410","1776171","1776171","2026-09-11T12:08:04.173Z"
"Silca CUSCINO 3.75 BLACK","Silca","","","","Components","Bar tape & grips","","","","","","","","50","50","https://bikecloset.com/product/cuscino-3-75-black/","850005186380","1775351","1775351","2026-09-11T12:08:04.173Z"
"Silca CUSCINO 2.5 BLACK","Silca","","","","Components","Bar tape & grips","","","","","","","","50","50","https://bikecloset.com/product/cuscino-2-5-black/","850005186441","1775349","1775349","2026-09-11T12:08:04.173Z"
"Silca Unicorn – Fully Anodized","Silca","","","","Accessories & tools","Tools","","","","","","","","85","85","https://bikecloset.com/product/unicorn-fully-anodized/","810093162161","1775347","1775347","2026-09-11T12:08:04.173Z"
"Silca MATTONE PACK","Silca","","","","Accessories & tools","Bags & packs","","","","","","","","50","50","https://bikecloset.com/product/mattone-pack/","850005186168","1775331","1775331","2026-09-11T12:08:04.173Z"
"Silca Italian Army Knife Nove","Silca","","","","Accessories & tools","Tools","","","","","","","","40","40","https://bikecloset.com/product/italian-army-knife/","853740005626","1775327","1775327","2026-09-11T12:08:04.173Z"
"Look KEO BLADE CARBON – 8Nm","Look","","","","Components","Pedals & cleats","","","","","","","","195","195","https://bikecloset.com/product/look-keo-blade-carbon-8nm/","3611720212313","1773103","1773103","2026-09-11T12:08:04.173Z"
"Look KEO 2 MAX CARBON","Look","","","","Components","Pedals & cleats","","","","","","","","155","155","https://bikecloset.com/product/look-keo-2-max-carbon/","3611720140173","1773102","1773102","2026-09-11T12:08:04.173Z"
"Look KEO 2 MAX","Look","","","","Components","Pedals & cleats","","","","","","","","125","125","https://bikecloset.com/product/look-keo-2-max/","3611720140159","1773101","1773101","2026-09-11T12:08:04.173Z"
"Look KEO CLASSIC 3","Look","","","","Components","Pedals & cleats","","","","","","","","65","65","https://bikecloset.com/product/look-keo-classic-3/","3611720110909","1773100","1773100","2026-09-11T12:08:04.173Z"
"Pirelli PZero Race Gold Label 700x28C Folding Clincher","Pirelli","","","","Wheels & tires","Tires","","","700 × 28 mm","tires:700 × 28 mm","700x28C","","","54.99","107.9","https://bikecloset.com/product/pirelli-pzero-race-gold-label-700x28c-folding-clincher/","8019227456790","1771536","1771536","2026-09-11T12:08:04.173Z"
"Pirelli Scorpion XC RC Colour Edition 29 x 2.4 PrW Gold","Pirelli","","","","Wheels & tires","Tires","","","29 × 2.4 in","tires:29 × 2.4 in","29 x 2.4","","","59.99","103.9","https://bikecloset.com/product/pirelli-scorpion-xc-rc-colour-edition-29-x-2-4-prw-gold/","8019227435405","1771532","1771532","2026-09-11T12:08:04.173Z"
"KMC X11 EPT Chain 11sp 116 links","KMC","","","","Components","Chains & chainrings","","","","","","","","39.99","60.5","https://bikecloset.com/product/kmc-x11-ept-chain-11sp-116-links-2/","766759711863-4715575890319","1770909","1770909","2026-09-11T12:08:04.173Z"
"KMC X10SL 10sp CP Silver 116L","KMC","","","","Components","Chains & chainrings","","","","","","","","34.99","55","https://bikecloset.com/product/kmc-x10sl-10sp-cp-silver-116l/","4715575890357","1770908","1770908","2026-09-11T12:08:04.173Z"
"KMC X10SL DLC Chain 10sp 116 links, Green","KMC","","","","Components","Chains & chainrings","","","","","","","","49.99","110","https://bikecloset.com/product/kmc-x10sl-dlc-chain-10sp-116-links-green/","4715575896052","1770907","1770907","2026-09-11T12:08:04.173Z"
"KMC X10SL DLC 10sp Black/Blk 116L","KMC","","","","Components","Chains & chainrings","","","","","","","","49.99","110","https://bikecloset.com/product/kmc-x10sl-dlc-10sp-black-blk-116l/","4715575896021","1770906","1770906","2026-09-11T12:08:04.173Z"
"CeramicSpeed EVO386 Bottom Bracket for Shimano","CeramicSpeed","","","","Components","Bottom brackets","","","","","","","","219","379","https://bikecloset.com/product/ceramicspeed-evo386-bottom-bracket-for-shimano/","5711050002498","1770821","1770821","2026-09-11T12:08:04.173Z"
"CeramicSpeed EVO386 Bottom Bracket for SRAM DUB Road","CeramicSpeed","","","","Components","Bottom brackets","","","","","","","","219","379","https://bikecloset.com/product/ceramicspeed-evo386-bottom-bracket-for-sram-dub-road/","5711050065165","1770817","1770817","2026-09-11T12:08:04.173Z"
"Enve Accessories Valve Extender 95mm","Enve","","","","Wheels & tires","Valves & tubeless supplies","","","","","","","","1.99","20","https://bikecloset.com/product/accessories-valve-extender-95mm-qty-1/","100-0014-002","1712556","1712556","2026-09-11T12:08:04.173Z"
"POC Ultra Saddle Bag 7L","POC","","","","Accessories & tools","Bags & packs","","","","","","","","200","200","https://bikecloset.com/product/ultra-saddle-bag-7l-ultra-saddle-bag-7l/","7325549838307","1769558","1769558","2026-09-11T12:08:04.173Z"
"POC Aspire Uranium Black/Clarity Trail/Partly Sunny Silver","POC","","","","Footwear & protection","Eyewear","","","","","","","","190","190","https://bikecloset.com/product/poc-aspire-clarity-road-sunny-silver-cat-3-copy/","7325549859692","1769552","1769552","2026-09-11T12:08:04.173Z"
"Fizik AERIS SD R1 135mm Carbon Rail","Fizik","","","","Components","Saddles","","","","","","","","149","229","https://bikecloset.com/product/saddle-aeris-sd-r1-135-mm-black/","8021890580344","1768082","1768082","2026-09-11T12:08:04.173Z"
"Fizik AERIS LD R1 135mm Carbon Rail","Fizik","","","","Components","Saddles","","","","","","","","149","229","https://bikecloset.com/product/saddle-aeris-ld-r1-135-mm-black/","8021890580313","1768080","1768080","2026-09-11T12:08:04.173Z"
"Fizik TEMPO ALIANTE R1 Carbon Rail 155 MM","Fizik","","","","Components","Saddles","","","","","","","","149","229","https://bikecloset.com/product/fizik-tempo-aliante-r1-carbon-rail-155-mm/","8021890580283","1768079","1768079","2026-09-11T12:08:04.173Z"
"Fizik TEMPO ALIANTE R1 Carbon Rail 145 MM","Fizik","","","","Components","Saddles","","","","","","","","149","229","https://bikecloset.com/product/saddle-tempo-aliante-r1-145-mm-black/","8021890580252","1768076","1768076","2026-09-11T12:08:04.173Z"
"Fizik VENTO ANTARES R1 Carbon Rail 150 MM","Fizik","","","","Components","Saddles","","","","","","","","149","229","https://bikecloset.com/product/saddle-vento-antares-r1-150-mm-black/","8021890580221","1768074","1768074","2026-09-11T12:08:04.173Z"
"Fizik AERIS SD R1 ADAPTIVE Carbon Rail – 135MM","Fizik","","","","Components","Saddles","","","","","","","","199","329","https://bikecloset.com/product/fizik-aeris-sd-r1-adaptive-carbon-rail-135mm/","8021890590107","1767947","1767947","2026-09-11T12:08:04.173Z"
"Fizik Tempo Argo R1 Carbon Rail – 160mm","Fizik","","","","Components","Saddles","","","","","","","","149","229","https://bikecloset.com/product/fizik-tempo-argo-r1-carbon-rail-160mm/","8021890486578","1767946","1767946","2026-09-11T12:08:04.173Z"
"Fizik VENTO ARGO R1 Carbon Rail 150mm","Fizik","","","","Components","Saddles","","","","","","","","129","225","https://bikecloset.com/product/saddle-vento-argo-r1-150-mm-black/","8021890486516","1767945","1767945","2026-09-11T12:08:04.173Z"
"Fizik Tempo Argo R1 Carbon Rail – 150mm","Fizik","","","","Components","Saddles","","","","","","","","149","229","https://bikecloset.com/product/fizik-road-saddles-argo-r1-150mm-tempo/","8021890486547","1626586","1626586","2026-09-11T12:08:04.173Z"
"SRAM, Red FlatTop E1, Chain, Speed: 12, Links: 114, Multicolor","SRAM","","","","Components","Chains & chainrings","","","","","","","","120","120","https://bikecloset.com/product/sram-red-flattop-e1-chain-speed-12-links-114-multicolor/","710845908255","1762417","1762417","2026-09-11T12:08:04.173Z"
"SRAM, XG-1290 E1, Cassette, Silver, Speed: 12, 10-28T, XD-R","SRAM","","","","Components","Cassettes","","","","","","","","430","430","https://bikecloset.com/product/sram-xg-1290-e1-cassette-silver-speed-12-10-28t-xd-r/","710845898310","1762403","1762403","2026-09-11T12:08:04.173Z"
"Pirelli PZero Race TLR 700 x 28mm Made In Italy Special Edition Nero","Pirelli","","","","Wheels & tires","Tires","","","700 × 28 mm","tires:700 × 28 mm","700 x 28mm","","","54.99","128.9","https://bikecloset.com/product/pirelli-pzero-race-tlr-700-x-28mm-made-in-italy-special-edition-nero/","8019227441673","1759769","1759769","2026-09-11T12:08:04.173Z"
"CeramicSpeed BBright Shimano Special Edition Blue (OEM)","CeramicSpeed","","OEM","","Components","Bottom brackets","","","","","","","","179","379","https://bikecloset.com/product/ceramicspeed-bbright-shimano-special-edition-blue-oem/","5711050075713","1758908","1758908","2026-09-11T12:08:04.173Z"
"CeramicSpeed BSA DUB Black Lab71 Edition (OEM)","CeramicSpeed","","OEM","","Components","Bottom brackets","","","","","","","","179","379","https://bikecloset.com/product/ceramicspeed-bsa-shimano/","57110501544","1758905","1758905","2026-09-11T12:08:04.173Z"
"i9 Torch 24H Front Disc 15×100 CL Black/Chrome End Caps","Industry Nine","","","","Wheels & tires","Hubs & parts","","","","","","","","49.99","200","https://bikecloset.com/product/i9-torch-24h-front-disc-15x100-cl-black-chrome-end-caps/","100-4000-615","1756477","1756477","2026-09-11T12:08:04.173Z"
"Beto Double – HxS Pump 100psi Dual Valve Head Silver","Beto","","","","Accessories & tools","Pumps","","","","","","","","9.99","29.99","https://bikecloset.com/product/beto-double-hxs-pump-100psi-dual-valve-head-silver/","698238401760","1756469","1756469","2026-09-11T12:08:04.173Z"
"RockShox Digital HP fork/shock pump With digital","RockShox","","","","Accessories & tools","Pumps","","","","","","","","59.99","90","https://bikecloset.com/product/rockshox-digital-hp-fork-shock-pump-with-digital/","710845760228","1756467","1756467","2026-09-11T12:08:04.173Z"
"Assos DIMENSION DATA Cap","Assos","","","","Clothing","Caps & headwear","Unspecified","Unspecified","","","","","","12.99","30","https://bikecloset.com/product/assos-dimension-data-cap/","2220000132473","1753779","1753779","2026-09-11T12:08:04.173Z"
"Fizik TEMPO ALIANTE R1 ADAPTIVE – 155MM","Fizik","","","","Components","Saddles","","","","","","","","329","329","https://bikecloset.com/product/fizik-tempo-aliante-r1-adaptive-155mm/","8021890590053","1752545","1752545","2026-09-11T12:08:04.173Z"
"Fizik VENTO ARGO R1 ADAPTIVE – 150MM","Fizik","","","","Components","Saddles","","","","","","","","329","329","https://bikecloset.com/product/fizik-vento-argo-r1-adaptive-150mm/","8021890571113","1539602","1539602","2026-09-11T12:08:04.173Z"
"Fizik VENTO ARGO R1 ADAPTIVE – 140MM","Fizik","","","","Components","Saddles","","","","","","","","329","329","https://bikecloset.com/product/fizik-vento-argo-r1-adaptive-140mm/","8021890571090","1564395","1564395","2026-09-11T12:08:04.173Z"
"Fizik VENTO ARGO R3 ADAPTIVE – 140MM","Fizik","","","","Components","Saddles","","","","","","","","289","289","https://bikecloset.com/product/fizik-vento-argo-r3-adaptive-140mm/","8021890571106","1559167","1559167","2026-09-11T12:08:04.173Z"
"Fizik VENTO ARGO R3 ADAPTIVE – 150MM","Fizik","","","","Components","Saddles","","","","","","","","289","289","https://bikecloset.com/product/fizik-vento-argo-r3-adaptive-150mm/","8021890571120","1535830","1535830","2026-09-11T12:08:04.173Z"
"Fizik Vento Argo 00 Adaptive – 150mm","Fizik","","","","Components","Saddles","","","","","","","","400","400","https://bikecloset.com/product/fizik-vento-argo-00-adaptive-150mm/","8021890583543","1600199","1600199","2026-09-11T12:08:04.173Z"
"Pirelli PZero Race TLR 700×30 Tubeless SmartEVO Black Made in Italy (OEM)","Pirelli","","OEM","","Wheels & tires","Tires","","","700 × 30 mm","tires:700 × 30 mm","700×30","","","59.99","99.9","https://bikecloset.com/product/pirelli-pzero-race-tlr-700x30-tubeless-smartevo-127tpi-black-made-in-italy-oem/","8019227398373-TLR-oem","1751537","1751537","2026-09-11T12:08:04.173Z"
"CeramicSpeed BSA SRAM DUB Coated","CeramicSpeed","","","","Components","Bottom brackets","","","","","","","","279","479","https://bikecloset.com/product/ceramicspeed-bsa-sram-dub-alternative-blk-coated-road/","5711050065318","1558781","1558781","2026-09-11T12:08:04.173Z"
"CeramicSpeed BSA SRAM DUB Black","CeramicSpeed","","","","Components","Bottom brackets","","","","","","","","199","379","https://bikecloset.com/product/ceramicspeed-bsa-sram-dub-alternative-blk-road/","5711050065127","1558783","1558783","2026-09-11T12:08:04.173Z"
"Campagnolo ProTech Bottom Bracket Italian Outboard (OEM)","Campagnolo","","OEM","","Components","Bottom brackets","","","","","","","","4.99","37","https://bikecloset.com/product/campagnolo-protech-bottom-bracket-italian-outboard-oem/","OC21-PRI","1749421","1749421","2026-09-11T12:08:04.173Z"
"CeramicSpeed BB86 Shimano Black Coated","CeramicSpeed","","","","Components","Bottom brackets","","","","","","","","249","479","https://bikecloset.com/product/ceramicspeed-bb86-shimano-blk-coated-road/","5711050001033","1558786","1558786","2026-09-11T12:08:04.173Z"
"CeramicSpeed BB86 SRAM DUB Black Coated","CeramicSpeed","","","","Components","Bottom brackets","","","","","","","","249","479","https://bikecloset.com/product/ceramicspeed-bb86-sram-dub-alternative-coated-road/","5711050065226","1558785","1558785","2026-09-11T12:08:04.173Z"
"CeramicSpeed BSA Shimano Blk Coated","CeramicSpeed","","","","Components","Bottom brackets","","","","","","","","299","479","https://bikecloset.com/product/ceramicspeed-bsa-shimano-blk-coated-5711050000999-denmark-87149650-92-00-g/","5711050000999","1520287","1520287","2026-09-11T12:08:04.173Z"
"Campagnolo Bora WTO 33 Disc Brake 700c 2 Way Fit Dark Label Campy Freehub","Campagnolo","","","","Wheels & tires","Wheelsets","","","","","","","","1199","2699","https://bikecloset.com/product/campagnolo-bora-wto-33-disc-brake-700c-2-way-fit-dark-label-n3w-freehub/","8053340455209","1699489","1699489","2026-09-11T12:08:04.173Z"
"POC Cerebel Medium 54-60cm","POC","","","","Footwear & protection","Helmets","","","M","helmets:m","Medium 54-60cm","","","199","420","https://bikecloset.com/product/1cerebel-cpsc/","7325549969964","1746636","1746636","2026-09-11T12:08:04.173Z"
"Rapha Letras Glasses","Rapha","","","","Footwear & protection","Eyewear","","","","","","","","149","245","https://bikecloset.com/product/letras-glasses/","5059526496939","1794805","1794805","2026-09-11T12:08:04.173Z"
"POC Cytal Hydrogen White Matt Medium (Open Box)","POC","Open box","","","Footwear & protection","Helmets","","","M","helmets:m","Medium","","","199","360","https://bikecloset.com/product/poc-cytal-hydrogen-white-matt-medium-open-box/","7325549822771-open box-A","1793351","1793351","2026-09-11T12:08:04.173Z"
"Selle SMP EVO 30C Liquid Stone White/ Black Steel Rail","Selle SMP","","","","Components","Saddles","","","","","","","","229","309","https://bikecloset.com/product/selle-smp-evo-30c-liquid-stone-white-black/","8051577010246","1792852","1792852","2026-09-11T12:08:04.173Z"
"Selle SMP EVO 20C Liquid Stone White/ Black Steel Rail","Selle SMP","","","","Components","Saddles","","","","","","","","229","309","https://bikecloset.com/product/selle-smp-evo-20c-liquid-stone-white-black/","8051577010208","1792850","1792850","2026-09-11T12:08:04.173Z"
"Pirelli PZERO SmarTUBE EVO Tube Presta Length 60mm 700C 25-28C","Pirelli","","","","Wheels & tires","Inner tubes","","","","","","","","17.99","37.9","https://bikecloset.com/product/pirelli-sportube-tube-presta-length-48mm-700c-23-30mm-2/","8019227436105","1722447","1722447","2026-09-11T12:08:04.173Z"
